"","index","month","day","hour","Orders","temperature_2m...C.","precipitation..mm.","rain..mm.","cloudcover....","cloudcover_low....","cloudcover_mid....","cloudcover_high....","windspeed_10m..km.h.","winddirection_10m....","Friday","Saturday","Sunday","Monday","Tuesday","Wednesday","Thursday","hr_0","hr_1","hr_2","hr_3","hr_4","hr_5","hr_6","hr_7","hr_8","hr_9","hr_10","hr_11","hr_12","hr_13","hr_14","hr_15","hr_16","hr_17","hr_18","hr_19","hr_20","hr_21","hr_22","hr_23"
"29",29,1,2,4,32,2,0,0,0,0,0,0,15.5,269,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,1,2,5,20,1.9,0,0,0,0,0,0,15.2,266,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,1,2,6,27,1.4,0,0,6,0,6,7,14.8,266,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,1,2,7,42,1.2,0,0,8,0,8,12,14.5,263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,1,2,8,53,1.1,0,0,5,0,0,17,14.5,264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,1,2,9,120,1.2,0,0,0,0,0,0,14.1,267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",35,1,2,10,125,0.3,0,0,0,0,0,0,11.2,270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",36,1,2,11,177,0.4,0,0,0,0,0,0,10.7,258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,1,2,12,211,0.5,0,0,0,0,0,0,10.5,264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38",38,1,2,13,197,0.4,0,0,20,22,0,0,10.9,262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"39",39,1,2,14,203,1.1,0,0,1,1,0,0,11.6,263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40",40,1,2,15,224,2.6,0,0,71,79,0,0,14.9,285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"41",41,1,2,16,222,3.1,0,0,34,38,0,0,13.4,278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"42",42,1,2,17,224,3.7,0,0,10,11,0,0,13,265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"43",43,1,2,18,260,4.2,0,0,2,2,0,0,13.3,257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"44",44,1,2,19,228,4.3,0,0,21,23,0,0,14.6,260,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"45",45,1,2,20,188,4.5,0,0,5,5,0,0,15,260,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"46",46,1,2,21,214,4.8,0,0,1,1,0,0,13.5,254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"47",47,1,2,22,221,3.6,0,0,33,37,0,0,10.5,286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",48,1,2,23,230,3.1,0,0,16,18,0,0,7.3,259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",49,1,3,0,181,2.7,0,0,5,5,0,0,7.2,252,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",50,1,3,1,161,2.5,0,0,4,4,0,0,7.9,246,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",51,1,3,2,160,2.1,0,0,3,3,1,0,8.7,240,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",52,1,3,3,114,1.4,0,0,2,2,1,0,9.2,231,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",53,1,3,4,62,1,0,0,1,1,0,0,10.7,230,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",54,1,3,5,17,0.8,0,0,0,0,0,0,11.2,225,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,1,3,6,33,0.6,0,0,2,2,0,0,12,224,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",56,1,3,7,33,0.6,0,0,1,1,0,0,12,221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",57,1,3,8,65,0.3,0,0,0,0,0,0,12.9,216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",58,1,3,9,113,0.7,0,0,0,0,0,0,13.1,217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",59,1,3,10,154,0,0,0,0,0,0,0,10,229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",60,1,3,11,175,0,0,0,0,0,0,0,12.3,218,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"61",61,1,3,12,202,0.3,0,0,0,0,0,0,14.3,231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62",62,1,3,13,209,0.4,0,0,0,0,0,0,15.6,236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"63",63,1,3,14,207,2.1,0,0,0,0,0,0,13.9,239,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"64",64,1,3,15,195,5.3,0,0,0,0,0,0,15.3,243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"65",65,1,3,16,215,6.5,0,0,0,0,0,0,16.9,246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"66",66,1,3,17,203,6.9,0,0,1,1,0,0,18.3,255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"67",67,1,3,18,202,7.1,0,0,30,33,0,0,19.1,271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"68",68,1,3,19,163,7.2,0,0,29,32,0,0,17.7,275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"69",69,1,3,20,156,7.1,0,0,77,85,0,0,16.4,279,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"70",70,1,3,21,138,6.5,0,0,56,62,0,0,12.1,282,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"71",71,1,3,22,102,5.4,0,0,36,40,0,0,9.8,287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72",72,1,3,23,85,4.8,0,0,0,0,0,0,9.4,272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"73",73,1,4,0,61,4.5,0,0,0,0,0,0,10.9,261,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",74,1,4,1,39,4,0,0,0,0,0,0,12,261,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",75,1,4,2,22,3.4,0,0,0,0,0,0,12,263,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",76,1,4,3,15,2.3,0,0,0,0,0,0,12.6,265,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",77,1,4,4,20,2,0,0,0,0,0,0,12.6,273,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",78,1,4,5,26,1.9,0,0,0,0,0,0,12.6,290,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",79,1,4,6,106,1.5,0,0,1,0,1,0,12.6,301,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",80,1,4,7,194,1.5,0,0,1,1,0,0,11.3,301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",81,1,4,8,217,1.2,0,0,4,4,0,0,11.9,305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",82,1,4,9,218,0.9,0,0,5,6,0,0,12.3,308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",83,1,4,10,176,-0.1,0,0,30,30,5,0,15.3,317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",84,1,4,11,163,-0.2,0,0,41,45,1,0,16.1,321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"85",85,1,4,12,169,0.1,0,0,58,60,7,0,16.5,324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"86",86,1,4,13,179,-0.3,0,0,68,59,24,0,18,331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"87",87,1,4,14,198,-0.7,0,0,77,54,47,0,20,337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"88",88,1,4,15,204,-0.8,0,0,42,18,43,0,19.7,339,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"89",89,1,4,16,180,-0.9,0,0,22,7,26,0,19.7,339,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"90",90,1,4,17,221,-0.9,0,0,4,0,7,0,20.5,336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"91",91,1,4,18,307,-1.1,0,0,1,0,1,0,21.5,337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"92",92,1,4,19,282,-1.2,0,0,0,0,0,0,22.7,340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"93",93,1,4,20,220,-1.8,0,0,0,0,0,0,23.2,341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"94",94,1,4,21,188,-2.7,0,0,0,0,0,0,23.2,344,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"95",95,1,4,22,161,-4.8,0,0,0,0,0,0,23,346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"96",96,1,4,23,85,-5.4,0,0,0,0,0,0,24.3,345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",97,1,5,0,66,-5.8,0,0,0,0,0,0,25.4,344,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",98,1,5,1,39,-6.4,0,0,0,0,0,0,25.8,345,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",99,1,5,2,13,-6.9,0,0,0,0,0,0,26.1,345,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",100,1,5,3,18,-8.1,0,0,0,0,0,0,26.3,347,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",101,1,5,4,7,-8.4,0,0,0,0,0,0,25.7,349,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",102,1,5,5,35,-9.2,0,0,0,0,0,0,24.4,351,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",103,1,5,6,136,-9.4,0,0,0,0,0,0,23.7,350,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",104,1,5,7,211,-9.6,0,0,0,0,0,0,23,350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",105,1,5,8,247,-9.6,0,0,0,0,0,0,22.3,351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",106,1,5,9,216,-9.5,0,0,0,0,0,0,21.2,350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",107,1,5,10,207,-10.4,0,0,9,10,0,0,18.3,350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",108,1,5,11,193,-10.4,0,0,7,8,0,0,19.3,351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"109",109,1,5,12,231,-10.1,0,0,0,0,0,0,18.1,354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"110",110,1,5,13,201,-10,0,0,0,0,0,0,17.7,354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"111",111,1,5,14,181,-9,0,0,0,0,0,0,17.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"112",112,1,5,15,236,-6.6,0,0,0,0,0,0,16.6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"113",113,1,5,16,177,-5.6,0,0,0,0,0,0,15.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"114",114,1,5,17,241,-4.4,0,0,0,0,0,0,14.1,354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"115",115,1,5,18,282,-3.4,0,0,0,0,0,0,12.5,348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"116",116,1,5,19,254,-2.6,0,0,0,0,0,0,10,347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"117",117,1,5,20,240,-1.8,0,0,0,0,0,0,8.5,348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"118",118,1,5,21,228,-1.2,0,0,0,0,0,0,5.9,349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"119",119,1,5,22,166,-1.8,0,0,0,0,0,0,3.3,354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"120",120,1,5,23,121,-2.4,0,0,0,0,0,0,2.6,304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"121",121,1,6,0,67,-2.8,0,0,0,0,0,0,3.3,276,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",122,1,6,1,36,-3,0,0,0,0,0,0,3.7,259,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",123,1,6,2,33,-3.1,0,0,0,0,0,0,4.2,250,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",124,1,6,3,18,-3.6,0,0,0,0,0,0,5,249,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",125,1,6,4,14,-4,0,0,0,0,0,0,5.2,254,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",126,1,6,5,25,-4.5,0,0,0,0,0,0,5.2,254,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",127,1,6,6,133,-4.3,0,0,0,0,0,0,6,245,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",128,1,6,7,192,-5,0,0,0,0,0,0,6.3,239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",129,1,6,8,246,-5.4,0,0,0,0,0,0,7.1,240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",130,1,6,9,236,-5.7,0,0,0,0,0,0,7.4,247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",131,1,6,10,233,-6.7,0,0,0,0,0,0,6.9,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",132,1,6,11,207,-7,0,0,0,0,0,0,7.1,255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",133,1,6,12,227,-7.1,0,0,0,0,0,0,8.2,247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"134",134,1,6,13,190,-7.5,0,0,0,0,0,0,9.3,242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"135",135,1,6,14,224,-5.4,0,0,0,0,0,0,8,234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"136",136,1,6,15,227,-1.4,0,0,0,0,0,0,9.3,234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"137",137,1,6,16,192,0.1,0,0,0,0,0,0,9.1,236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"138",138,1,6,17,245,1.7,0,0,0,0,0,0,8.6,237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"139",139,1,6,18,284,2.7,0,0,0,0,0,0,8.1,238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
